block_id,id,lat,lon,name
0,8342,11,32768
1,164574780,41.5163899,26.5291294,unknown
1,283711169,41.5031784,26.5323722,unknown
1,299263482,41.5036382,26.5286010,Ορεστιάδα
1,299266545,41.4950707,26.5030085,Νέος Πύργος
1,301031648,41.4963329,26.4929584,unknown
1,301031649,41.4974901,26.4891819,unknown
1,301031652,41.4982615,26.4871219,unknown
1,301031655,41.5022470,26.4775089,unknown
1,301031656,41.5045611,26.4720157,unknown
1,301031658,41.5057181,26.4696125,unknown
1,301031659,41.5090327,26.4662802,unknown
1,301031661,41.5113046,26.4650096,unknown
1,301031719,41.4952319,26.5080253,unknown
1,301031720,41.4968836,26.5106977,unknown
1,301031721,41.4977595,26.5128091,unknown
1,301031722,41.4998760,26.5173195,unknown
1,301031725,41.5033936,26.5253837,unknown
1,301031825,41.4915755,26.5044597,unknown
1,301032661,41.5622578,26.4612011,unknown
1,301032662,41.5616156,26.4601711,unknown
1,301032663,41.5605880,26.4586262,unknown
1,301032664,41.5590466,26.4579395,unknown
1,301057823,41.4888956,26.5337237,unknown
1,301057999,41.4887450,26.5310695,unknown
1,301058001,41.4908024,26.5245464,unknown
1,301058003,41.4918311,26.5238597,unknown
1,301058005,41.4940170,26.5226581,unknown
1,301058007,41.4963314,26.5207698,unknown
1,301058009,41.5014140,26.5204845,unknown
1,301058011,41.5044310,26.5205982,unknown
1,301058013,41.5057166,26.5231731,unknown
1,301058015,41.5097017,26.5228298,unknown
1,301058017,41.5127867,26.5233448,unknown
1,301058018,41.5153575,26.5240314,unknown
1,301058019,41.5195594,26.5234513,unknown
1,301058020,41.5223078,26.5254188,unknown
1,301058021,41.5217840,26.5351894,unknown
1,301058022,41.5189564,26.5353611,unknown
1,301058023,41.5158717,26.5353611,unknown
1,301058024,41.5138151,26.5369060,unknown
1,301058025,41.5120155,26.5360477,unknown
1,301058026,41.5089304,26.5362194,unknown
1,301058027,41.5053391,26.5366475,unknown
1,301058028,41.5031454,26.5379360,unknown
1,301058030,41.4959456,26.5372493,unknown
1,301058031,41.4949170,26.5348461,unknown
1,301058032,41.4928598,26.5351894,unknown
1,301058033,41.4902881,26.5357044,unknown
1,301058757,41.5113153,26.4815999,unknown
1,301058758,41.5296235,26.4905574,unknown
1,301058927,41.5111193,26.5066940,unknown
1,301058931,41.5334628,26.4781941,unknown
1,301058932,41.5339768,26.4776792,unknown
1,301058933,41.5388698,26.4769278,unknown
1,301058942,41.5397590,26.4610280,unknown
1,301073181,41.4618088,26.5659493,unknown
1,301073183,41.4635367,26.5648868,unknown
1,301073184,41.4645658,26.5645435,unknown
1,301073185,41.4655949,26.5636852,unknown
1,301073186,41.4659808,26.5624836,unknown
1,301073187,41.4671385,26.5612819,unknown
1,301073188,41.4682961,26.5605953,unknown
1,301073189,41.4690679,26.5599086,unknown
1,301073191,41.4699683,26.5593936,unknown
1,301073192,41.4707401,26.5585353,unknown
1,301073193,41.4707401,26.5576770,unknown
1,301073194,41.4712546,26.5566471,unknown
1,301073196,41.4717691,26.5559604,unknown
1,301073197,41.4729722,26.5552002,unknown
1,301073198,41.4737159,26.5545369,unknown
1,301073199,41.4745987,26.5532138,unknown
1,301073200,41.4753704,26.5514972,unknown
1,301073201,41.4758849,26.5508106,unknown
1,301073202,41.4763993,26.5496089,unknown
1,301073203,41.4770424,26.5485790,unknown
1,301073204,41.4781999,26.5475490,unknown
1,301073205,41.4789715,26.5466907,unknown
1,301073206,41.4797432,26.5456607,unknown
